associated_id,term,type
O00303,EIF3F,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00305,Voltage-dependent L-type calcium channel subunit beta-4,gene_common_name
O00305,CACNB4,gene_symbol
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",gene_common_name
O00329,PIK3CD,gene_symbol
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",gene_common_name
O00329,PIK3CD,gene_symbol
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",gene_common_name
O00329,PIK3CD,gene_symbol
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",gene_common_name
O00329,PIK3CD,gene_symbol
O00341,Excitatory amino acid transporter 5,gene_common_name
O00341,SLC1A7,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",gene_common_name
O00408,PDE2A,gene_symbol
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,gene_common_name
O00459,PIK3R2,gene_symbol
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,gene_common_name
O00459,PIK3R2,gene_symbol
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",gene_common_name
O00469,PLOD2,gene_symbol
O00483,Cytochrome c oxidase subunit NDUFA4,gene_common_name
O00483,NDUFA4,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00519,Fatty-acid amide hydrolase 1,gene_common_name
O00519,FAAH,gene_symbol
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,gene_common_name
O00555,CACNA1A,gene_symbol
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,gene_common_name
O00555,CACNA1A,gene_symbol
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,gene_common_name
O00555,CACNA1A,gene_symbol
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,gene_common_name
O00555,CACNA1A,gene_symbol
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,gene_common_name
O00555,CACNA1A,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00591,Gamma-aminobutyric acid receptor subunit pi,gene_common_name
O00591,GABRP,gene_symbol
O00763,Acetyl-CoA carboxylase 2,gene_common_name
O00763,ACACB,gene_symbol
O00763,Acetyl-CoA carboxylase 2,gene_common_name
O00763,ACACB,gene_symbol
O00763,Acetyl-CoA carboxylase 2,gene_common_name
O00763,ACACB,gene_symbol
O00763,Acetyl-CoA carboxylase 2,gene_common_name
O00763,ACACB,gene_symbol
O00763,Acetyl-CoA carboxylase 2,gene_common_name
O00763,ACACB,gene_symbol
O00764,Pyridoxal kinase,gene_common_name
O00764,PDXK,gene_symbol
O00764,Pyridoxal kinase,gene_common_name
O00764,PDXK,gene_symbol
O00764,Pyridoxal kinase,gene_common_name
O00764,PDXK,gene_symbol
O00764,Pyridoxal kinase,gene_common_name
O00764,PDXK,gene_symbol
O00764,Pyridoxal kinase,gene_common_name
O00764,PDXK,gene_symbol
O05935,"2-oxo-1,2-dihydroquinoline 8-monooxygenase, oxygenase component",gene_common_name
O05935,oxoO,gene_symbol
O06644,Formyl-CoA:oxalate CoA-transferase,gene_common_name
O06644,frc,gene_symbol
O06644,Formyl-CoA:oxalate CoA-transferase,gene_common_name
O06644,frc,gene_symbol
O06796,Possible exported protein,gene_common_name
O06796,NA,gene_symbol
O07015,Sigma factor SigB regulation protein RsbQ,gene_common_name
O07015,rsbQ,gene_symbol
O07015,Sigma factor SigB regulation protein RsbQ,gene_common_name
O07015,rsbQ,gene_symbol
O07015,Sigma factor SigB regulation protein RsbQ,gene_common_name
O07015,rsbQ,gene_symbol
O07347,Signal recognition particle protein,gene_common_name
O07347,ffh,gene_symbol
O07347,Signal recognition particle protein,gene_common_name
O07347,ffh,gene_symbol
O07529,FMN-dependent NADPH-azoreductase,gene_common_name
O07529,azr,gene_symbol
O07653,Cellulase B,gene_common_name
O07653,celB,gene_symbol
O07732,Cyclase,gene_common_name
O07732,lipJ,gene_symbol
O08398,Cell division protein FtsZ,gene_common_name
O08398,ftsZ,gene_symbol
O08498,Carbapenem-hydrolyzing beta-lactamase BlaB-1,gene_common_name
O08498,blaB1,gene_symbol
O11885,Protein P,gene_common_name
O11885,NA,gene_symbol
O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",gene_common_name
O14521,SDHD,gene_symbol
O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",gene_common_name
O14521,SDHD,gene_symbol
O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",gene_common_name
O14521,SDHD,gene_symbol
O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",gene_common_name
O14521,SDHD,gene_symbol
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",gene_common_name
O14556,GAPDHS,gene_symbol
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",gene_common_name
O14556,GAPDHS,gene_symbol
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",gene_common_name
O14556,GAPDHS,gene_symbol
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",gene_common_name
O14556,GAPDHS,gene_symbol
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",gene_common_name
O14556,GAPDHS,gene_symbol
O14561,"Acyl carrier protein, mitochondrial",gene_common_name
O14561,NDUFAB1,gene_symbol
O14594,Neurocan core protein,gene_common_name
O14594,NCAN,gene_symbol
O14594,Neurocan core protein,gene_common_name
O14594,NCAN,gene_symbol
O14594,Neurocan core protein,gene_common_name
O14594,NCAN,gene_symbol
O14618,Copper chaperone for superoxide dismutase,gene_common_name
O14618,CCS,gene_symbol
O14646,Chromodomain-helicase-DNA-binding protein 1,gene_common_name
O14646,CHD1,gene_symbol
O14649,Potassium channel subfamily K member 3,gene_common_name
O14649,KCNK3,gene_symbol
O14649,Potassium channel subfamily K member 3,gene_common_name
O14649,KCNK3,gene_symbol
O14672,Disintegrin and metalloproteinase domain-containing protein 10,gene_common_name
O14672,ADAM10,gene_symbol
O14717,tRNA (cytosine(38)-C(5))-methyltransferase,gene_common_name
O14717,TRDMT1,gene_symbol
O14717,tRNA (cytosine(38)-C(5))-methyltransferase,gene_common_name
O14717,TRDMT1,gene_symbol
O14717,tRNA (cytosine(38)-C(5))-methyltransferase,gene_common_name
O14717,TRDMT1,gene_symbol
O14727,Apoptotic protease-activating factor 1,gene_common_name
O14727,APAF1,gene_symbol
O14732,Inositol monophosphatase 2,gene_common_name
O14732,IMPA2,gene_symbol
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,gene_common_name
O14735,CDIPT,gene_symbol
O14746,Telomerase reverse transcriptase,gene_common_name
O14746,TERT,gene_symbol
O14746,Telomerase reverse transcriptase,gene_common_name
O14746,TERT,gene_symbol
O14746,Telomerase reverse transcriptase,gene_common_name
O14746,TERT,gene_symbol
O14756,17-beta-hydroxysteroid dehydrogenase type 6,gene_common_name
O14756,HSD17B6,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14757,Serine/threonine-protein kinase Chk1,gene_common_name
O14757,CHEK1,gene_symbol
O14763,Tumor necrosis factor receptor superfamily member 10B,gene_common_name
O14763,TNFRSF10B,gene_symbol
O14764,Gamma-aminobutyric acid receptor subunit delta,gene_common_name
O14764,GABRD,gene_symbol
O14764,Gamma-aminobutyric acid receptor subunit delta,gene_common_name
O14764,GABRD,gene_symbol
O14764,Gamma-aminobutyric acid receptor subunit delta,gene_common_name
O14764,GABRD,gene_symbol
O14764,Gamma-aminobutyric acid receptor subunit delta,gene_common_name
O14764,GABRD,gene_symbol
O14764,Gamma-aminobutyric acid receptor subunit delta,gene_common_name
O14764,GABRD,gene_symbol
